歌ID,歌人,属性
1,天智天皇,殿
2,持統天皇,姫
3,柿本人麻呂,殿
4,山部赤人,殿
5,猿丸大夫,殿
6,中納言家持,殿
7,安倍仲麻呂,殿
8,喜撰法師,坊主
9,小野小町,姫
10,蝉丸,坊主
11,参議篁,殿
12,僧正遍昭,坊主
13,陽成院,殿
14,河原左大臣,殿
15,光孝天皇,殿
16,中納言行平,殿
17,在原業平朝臣,殿
18,藤原敏行朝臣,殿
19,伊勢,姫
20,元良親王,殿
21,素性法師,坊主
22,文屋康秀,殿
23,大江千里,殿
24,菅家,殿
25,三条右大臣,殿
26,貞信公,殿
27,中納言兼輔,殿
28,源宗于朝臣,殿
29,凡河内躬恒,殿
30,壬生忠岑,殿
31,坂上是則,殿
32,春道列樹,殿
33,紀友則,殿
34,藤原興風,殿
35,紀貫之,殿
36,清原深養父,殿
37,文屋朝康,殿
38,右近,姫
39,参議等,殿
40,平兼盛,殿
41,壬生忠見,殿
42,清原元輔,殿
43,中納言敦忠,殿
44,中納言朝忠,殿
45,謙徳公,殿
46,曾禰好忠,殿
47,恵慶法師,坊主
48,源重之,殿
49,大中臣能宣朝臣,殿
50,藤原義孝,殿
51,藤原実方朝臣,殿
52,藤原道信朝臣,殿
53,右大将道綱母,姫
54,儀同三司母,姫
55,大納言公任,殿
56,和泉式部,姫
57,紫式部,姫
58,大弐三位,姫
59,赤染衛門,姫
60,小式部内侍,姫
61,伊勢大輔,姫
62,清少納言,姫
63,左京大夫道雅,殿
64,権中納言定頼,殿
65,相模,姫
66,前大僧正行尊,坊主
67,周防内侍,姫
68,三条院,殿
69,能因法師,坊主
70,良暹法師,坊主
71,大納言経信,殿
72,祐子内親王家紀伊,姫
73,前中納言匡房,殿
74,源俊頼朝臣,殿
75,藤原基俊,殿
76,法性寺入道前関白太政大臣,殿
77,崇徳院,殿
78,源兼昌,殿
79,左京大夫顕輔,殿
80,待賢門院堀川,姫
81,後徳大寺左大臣,殿
82,道因法師,坊主
83,皇太后宮大夫俊成,殿
84,藤原清輔朝臣,殿
85,俊恵法師,坊主
86,西行法師,坊主
87,寂蓮法師,坊主
88,皇嘉門院別当,姫
89,式子内親王,姫
90,殷富門院大輔,姫
91,後京極摂政前太政大臣,殿
92,二条院讃岐,姫
93,鎌倉右大臣,殿
94,参議雅経,殿
95,前大僧正慈円,坊主
96,入道前太政大臣,殿
97,権中納言定家,殿
98,従二位家隆,殿
99,後鳥羽院,殿
100,順徳院,殿
