歌ID,決まり字,下の句の決まり字,歌人,上の句,下の句,上の句（ひらがな）,下の句（ひらがな）,上の句（よみがな）,下の句（よみがな）
1,あきの,わがころもでは,天智天皇,秋の田のかりほの庵の苫をあらみ,わが衣手は露にぬれつつ,あきのたのかりほのいほのとまをあらみ,わがころもではつゆにぬれつつ,あきのたのかりおのいおのとまをあらみ,わがころもではつゆにぬれつつ
2,はるす,ころもほ,持統天皇,春過ぎて夏来にけらし白妙の,衣干すてふ天の香具山,はるすぎてなつきにけらししろたへの,ころもほすてふあまのかぐやま,はるすぎてなつきにけらししろたえの,ころもほすちょうあまのかぐやま
3,あし,ながな,柿本人麻呂,あしびきの山鳥の尾のしだり尾の,ながながし夜をひとりかも寝む,あしびきのやまどりのをのしだりをの,ながながしよをひとりかもねむ,あしびきのやまどりのおのしだりおの,ながながしよをひとりかもねん
4,たご,ふじ,山辺赤人,田子の浦にうち出でてみれば白妙の,富士の高嶺に雪は降りつつ,たごのうらにうちいでてみればしろたへの,ふじのたかねにゆきはふりつつ,たごのうらにうちいでてみればしろたえの,ふじのたかねにゆきはふりつつ
5,おく,こえ,猿丸大夫,奥山に紅葉踏み分け鳴く鹿の,声聞く時ぞ秋は悲しき,おくやまにもみぢふみわけなくしかの,こゑきくときぞあきはかなしき,おくやまにもみじふみわけなくしかの,こえきくときぞあきはかなしき
6,かさ,しろ,中納言家持,かささぎの渡せる橋に置く霜の,白きを見れば夜ぞ更けにける,かささぎのわたせるはしにおくしもの,しろきをみればよぞふけにける,かささぎのわたせるはしにおくしもの,しろきをみればよぞふけにける
7,あまの,みか,安倍仲麻呂,天の原ふりさけみれば春日なる,三笠の山に出でし月かも,あまのはらふりさけみればかすがなる,みかさのやまにいでしつきかも,あまのはらふりさけみればかすがなる,みかさのやまにいでしつきかも
8,わがゐ,よをう,喜撰法師,わが庵は都の辰巳しかぞ住む,世をうぢ山と人はいふなり,わがいほはみやこのたつみしかぞすむ,よをうぢやまとひとはいふなり,わがいおはみやこのたつみしかぞすむ,よをうじやまとひとはいうなり
9,はなの,わがみよ,小野小町,花の色は移りにけりないたづらに,わが身世にふるながめせしまに,はなのいろはうつりにけりないたづらに,わがみよにふるながめせしまに,はなのいろはうつりにけりないたずらに,わがみよにふるながめせしまに
10,これ,しる,蝉丸,これやこの行くも帰るも別れては,知るも知らぬも逢坂の関,これやこのゆくもかへるもわかれては,しるもしらぬもあふさかのせき,これやこのゆくもかえるもわかれては,しるもしらぬもおおさかのせき
11,わたのはらや,ひとには,参議篁,わたの原八十島かけて漕ぎ出でぬと,人にはつげよ海人の釣船,わたのはらやそしまかけてこぎいでぬと,ひとにはつげよあまのつりぶね,わたのはらやそしまかけてこぎいでぬと,ひとにはつげよあまのつりぶね
12,あまつ,おと,僧正遍昭,天つ風雲の通ひ路吹きとぢよ,乙女の姿しばしとどめむ,あまつかぜくものかよひぢふきとぢよ,をとめのすがたしばしとどめむ,あまつかぜくものかよいじふきとじよ,おとめのすがたしばしとどめん
13,つく,こいぞ,陽成院,筑波嶺の峰より落つるみなの川,恋ぞつもりて淵となりぬる,つくばねのみねよりおつるみなのがは,こひぞつもりてふちとなりぬる,つくばねのみねよりおつるみなのがわ,こいぞつもりてふちとなりぬる
14,みち,みだれそ,河原左大臣,陸奥のしのぶもぢずりたれゆえに,乱れそめにしわれならなくに,みちのくのしのぶもぢずりたれゆゑに,みだれそめにしわれならなくに,みちのくのしのぶもじずりたれゆえに,みだれそめにしわれならなくに
15,きみがためは,わがころもでに,光孝天皇,君がため春の野に出でて若菜摘む,わが衣手に雪は降りつつ,きみがためはるののにいでてわかなつむ,わがころもでにゆきはふりつつ,きみがためはるののにいでてわかなつむ,わがころもでにゆきはふりつつ
16,たち,まつと,中納言行平,立ち別れいなばの山の峰に生ふる,まつとし聞かば今帰り来む,たちわかれいなばのやまのみねにおふる,まつとしきかばいまかへりこむ,たちわかれいなばのやまのみねにおうる,まつとしきかばいまかへりこん
17,ちは,から,在原業平朝臣,ちはやぶる神代も聞かず竜田川,から紅に水くくるとは,ちはやぶるかみよもきかずたつたがは,からくれなゐにみづくくるとは,ちはやぶるかみよもきかずたつたがわ,からくれないにみずくくるとは
18,す,ゆめ,藤原敏行朝臣,住の江の岸に寄る波よるさへや,夢の通ひ路人目よくらむ,すみのえのきしによるなみよるさへや,ゆめのかよひぢひとめよくらむ,すみのえのきしによるなみよるさえや,ゆめのかよいじひとめよくらむ
19,なにわが,あわで,伊勢,難波潟短き葦のふしの間も,逢はでこの世を過ぐしてよとや,なにはがたみじかきあしのふしのまも,あはでこのよをすぐしてよとや,なにわがたみじかきあしのふしのまも,あわでこのよをすぐしてよとや
20,わび,みをつくしても,元良親王,わびぬれば今はた同じ難波なる,身をつくしても逢はむとぞ思ふ,わびぬればいまはたおなじなにはなる,みをつくしてもあはむとぞおもふ,わびぬればいまはたおなじなにわなる,みをつくしてもあはんとぞおもう
21,いまこ,あり,素性法師,今来むといひしばかりに長月の,有明の月を待ち出でつるかな,いまこむといひしばかりにながつきの,ありあけのつきをまちいでつるかな,いまこんといいしばかりにながつきの,ありあけのつきをまちいでつるかな
22,ふ,むべ,文屋康秀,吹くからに秋の草木のしをるれば,むべ山風を嵐といふらむ,ふくからにあきのくさきのしをるれば,むべやまかぜをあらしといふらむ,ふくからにあきのくさきのしおるれば,むべやまかぜをあらしというらん
23,つき,わがみひ,大江千里,月見れば千々にものこそ悲しけれ,わが身ひとつの秋にはあらねど,つきみればちぢにものこそかなしけれ,わがみひとつのあきにはあらねど,つきみればちじにものこそかなしけれ,わがみひとつのあきにはあらねど
24,この,もみ,菅家,このたびは幣もとりあへず手向山,紅葉の錦神のまにまに,このたびはぬさもとりあへずたむけやま,もみぢのにしきかみのまにまに,このたびはぬさもとりあえずたむけやま,もみじのにしきかみのまにまに
25,なにし,ひとにし,三条右大臣,名にし負はば逢坂山のさねかずら,人に知られでくるよしもがな,なにしおはばあふさかやまのさねかづら,ひとにしられでくるよしもがな,なにしおわばおおさかやまのさねかづら,ひとにしられでくるよしもがな
